suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Paupong,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Pawleena,TAS,Rural locality,Sorell,65,"['Sorell-Council-Climate-Change-Adaptation-Plan-2012-1', 'Environmental-Sustainability-Policy']"
Pawtella,TAS,Rural locality,Southern Midlands,83,"['Climate-Change-and-EF-southern-midlands-climate-profile', 'Climate-Change-Adaptation-Plan-2020', 'CCAEE - Climate Change Adaptation in the Midlands - 1 - Introduction', 'CCAEE - Climate Change Adaptation in the Midlands - 2 - The Science', 'CCAEE - Climate Change Adaptation in the Midlands - 3 - Heat', 'CCAEE - Climate Change Adaptation in the Midlands - 4 - Township Lagoon Native Grasslands', 'CCAEE - Climate Change Adaptation in the Midlands - 5 - Bushfire', 'CCAEE - Climate Change Adaptation in the Midlands - 6 - The Need for Action Reflections on Councils Action Plan', 'CCAEE - Climate Change Adaptation in the Midlands - 7 - Chauncy Vale and Carbon Management', 'CCAEE - Climate Change Adaptation in the Midlands - 8 - Prioritising Protection of our Natural Environment', 'CCAEE - Climate Change Adaptation in the Midlands - Efficient Vehicle choices']"
Paxton,NSW,Urban locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Paynedale,WA,Rural locality,Donnybrook-Balingup,88,['2021-2022-Shire-of-Donnybrook-Balingup-Annual-Report-(includes-Annual-Financial-Report-and-Audit-Opinion)']
Paynes Crossing,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Paynes Find,WA,Rural locality,Yalgoo,104,['Governance-and-Policy-Manual-NCCP']
Paytens Bridge,NSW,Rural locality,Forbes,58,['Delivery Program and Operational Plan 2023-2025']
Peaceful Bay,WA,Rural locality,Denmark,96,"['Shire of Denmark Sustainability Program', 'Shire of Denmark Sustainability Action Plan FINAL', 'Sustainability Strategy 2021-2031', 'CoastalReserveManagement']"
Peachester,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Peacock Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Peacock Siding,QLD,Rural locality,Hinchinbrook,92,['annual_report_2021-2022NCCP']
Peak Crossing,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Peak Hill,WA,Rural locality,Meekatharra,245,['Policy Manual 2023 NCCP']
Peak View,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
South Spreyton,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Pearces Creek,NSW,Rural locality,Lismore,334,"['Declaration-of-Climate-Change', 'climate-resilience-policy-adopted-by-council-9-february-2021', 'renewable-energy-master-plan', 'nimbin-community-disaster-plan-final-april-2021', 'the-channon-surrounds-disaster-resilience-plan-final-april-2021', 'biodiversity-management-strategy-2015-2035-revised-2nd-edition']"
Pearl Beach,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Spalford,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Pearshape,TAS,Rural locality,King Island,85,['Annual Report 2021-22 NCCP']
Pearsondale,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Sprent,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Stoodley,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Pechey,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Peebinga,SA,Rural locality,Loxton Waikerie,235,"['Greening Loxton Strategy Loxton Recreation Grounds Committee', 'Ordinary Council Meeting Agenda 19July2023']"
Erina,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Styx,TAS,Rural locality,Derwent Valley,26,"['derwent-valley-climate-profile', 'Advocacy-Document']"
Peel Island,QLD,Rural locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Peep Hill,SA,Rural locality,Goyder,94,['Goyder Master Plan 2022-2037']
Peerabeelup,WA,Rural locality,Nannup,70,['Annual Report 2021-22 NCCP']
Sulphur Creek,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Pegarah,TAS,Rural locality,King Island,85,['Annual Report 2021-22 NCCP']
Pegs Creek,WA,Urban locality,Karratha,42,['Environmental Sustainability Strategy']
Pejar,NSW,Rural locality,Upper Lachlan Shire,135,['Annual-Report-2021-2022-NCCP']
Pekina,SA,Rural locality,Orroroo/Carrieton,79,['Annual Report 2022 - NCCP']
Pelaw Main,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Sarina Range,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Kabra,QLD,Rural locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
South Preston,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Pelican Point,SA,Rural locality,Grant,72,['Health and Wellbeing Action Plan']
Scarborough,QLD,Major Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Pellaring Flat,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Pellew Islands,NT,Rural locality,Roper Gulf,136,['Annual-Report-2021-2022NCCP']
Pelluebla,VIC,Rural locality,Moira,61,"['Preparing for Climate Change in the Moira Shire', 'Moira Environmental Sustainability Strategy 2022-26 - Focus-Area-4']"
Pelton,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Pemberton,WA,Urban locality,Manjimup,50,['Environmental Management and Sustainability Strategy 2013']
Pembrooke,NSW,Rural locality,Port Macquarie-Hastings,130,"['Climate Change Response Policy 08-12-2022', '2019-2030 Biodiversity Management Strategy']"
Carrs Island,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Penfield Gardens,SA,Rural locality,Playford,110,['Climate-Change-Adaptation-Plan']
Promised Land,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Pennant Hills,NSW,Major Urban locality,Hornsby,658,"['Climate-Wise-Hornsby-Plan-Final', 'Sustainable-Hornsby-2040', 'Water-Sensitive-Hornsby-Strategy', 'HSC5704-Walking-and-Cycling-Strategy-v16', 'Final-Waste-Matters-Strategy-Report-Digital', 'Urban-Forest-Strategy', 'Biodiversity-Conservation-Strategy']"
Penneshaw,SA,Urban locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Pennyroyal,VIC,Rural locality,Surf Coast,128,"['Surf-Coast-Shire-Council-Climate-Emergency-Response-Plan-2021-2031-Final-6', 'Climate-Emergency-Progress-Report-January-June-2022', 'Climate-Emergency-Quarterly-Update-October-December-2021', 'D21-191558-Climate-Emergency-Corporate-Response-Plan-October-2021-update-Public-Summary2', 'Climate-change-survey-summary-final', 'SCS-055-Environmentally-Sustainable-Council-Facilities-Policy-Adopted-23-November-2021', 'Community-Development-Action-Plan-2022-2024', 'Council-Plan-incorporating-Health-and-Wellbeing-Plan-2021-2025-final-for-Council-meeting-12', 'D23-106966-Appendix-3-Climate-Emergency-2023-2025-Action-Plan-FINAL-DRAFT']"
Penola,SA,Urban locality,Wattle Range,197,"['WRC-Annual-Report', 'policy-2-4-tree-management-120411', 'policy-3-7-general-environmental-policy-150211']"
Scarness,QLD,Urban locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Penrose,NSW,Rural locality,Wingecarribee,60,"['Climate-Change-Adaptation-Plan-Summary', 'WSC-Urban-Tree-Policy-Adopted-23-May-2018', 'WSC-Environment-Policy-Adopted-Dec-2017', 'Wingecarribee-Environment-Strategy-2012-2017']"
Penshurst,VIC,Rural locality,Moyne,86,"['Procurement Policy Adopted 7-December-2021', 'Environmental Sustainability Strategy']"
Tinderbox,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
Pentland,QLD,Rural locality,Charters Towers,100,['2021-2022-Annual-Report-NCCP']
Pentland Hills,VIC,Rural locality,Moorabool,61,['Sustainable-Environment-Strategy-2016-26']
Penwortham,SA,Rural locality,Clare and Gilbert Valleys,351,"['CommunityEmergencyManagementPolicy', '19 July 2023 PUBLIC Ordinary Council Meeting agenda', 'Annual Business Plan 2023-2024']"
Peppermint Grove Beach,WA,Urban locality,Capel,22,['Sustainability Framework']
Peranga,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Percydale,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Peregian Beach,QLD,Major Urban locality,Noosa,117,"['NC-Climate-Change-Response-Plan-ENDORSED', 'Climate-Change-Response-Policy', 'Zero-Emissions-Organisational-Strategy', 'Noosa-Environment-Strategy-2019']"
Peregian Springs,QLD,Major Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Perenjori,WA,Urban locality,Perenjori,167,['Policy Manual - NCCP']
Pericoe,NSW,Rural locality,Bega Valley,204,"['Climate Change Risk Assessment Adaptation Report 2010', 'Bega Valley Shire Climate Resilience Strategy 2025']"
Perillup,WA,Rural locality,Plantagenet,114,['2021-2022 Annual Report NCCP']
Tugrah,TAS,Rural locality,Devonport,33,"['Corporate Climate Change Adaptation Plan Year Five Status - 2023', 'Environment Strategy 2019-2024']"
Peronne,VIC,Rural locality,West Wimmera,164,['2021-2022-Annual-Report-Final-NCCP']
Perry Bridge,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Perrys Crossing,NSW,Rural locality,Hawkesbury,471,"['Adopted-Hawkesbury-Rural-Lands-Strategy', 'Flood Policy 2020 - Adopted 29 June 2021 - PEL0006Z', 'HCC-Urban-Greening-Strategy-Adopted', 'HCC-Environmental-Sustainability-Strategy-2023', 'Waste-Strategy-Draft-2022-pages']"
Perseverance,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Perth,TAS,Urban locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Perup,WA,Rural locality,Manjimup,50,['Environmental Management and Sustainability Strategy 2013']
Perwillowen,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Petersham,NSW,Major Urban locality,Inner West,42,['Inner West Council Climate and Renewables Strategy']
Petersville,SA,Rural locality,Yorke Peninsula,166,"['PO162-Tree-Management-Policy', 'Publication-2021-2022-Annual-Report-Final']"
Tunbridge,TAS,Rural locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Petherick,SA,Rural locality,Tatiara,146,['Final-Tatiara-Coorong-LAP-080312-2']
Turners Beach,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Petrie,QLD,Major Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Petrudor,WA,Rural locality,Dalwallinu,245,['Register of Policies NCCP']
Petwood,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Pewsey Vale,SA,Rural locality,Barossa,43,['climate-change-adaptation-plan']
Pheasants Nest,NSW,Rural locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Phegans Bay,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Phoenix Park,NSW,Rural locality,Maitland,52,['Environmental-Sustainability-Strategy-DRAFT']
Pialba,QLD,Urban locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Piallamore,NSW,Rural locality,Tamworth Regional,60,['Environmental Sustainability Strategy 2022 - 2026 ']
Piallaway,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Piambong,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Upper Castra,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Piawaning,WA,Rural locality,Victoria Plains,72,['Council Policy Manual 2022 - NCCP']
Pickanjinnie,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Picketts Valley,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Picnic Bay,QLD,Urban locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Picola,VIC,Rural locality,Moira,61,"['Preparing for Climate Change in the Moira Shire', 'Moira Environmental Sustainability Strategy 2022-26 - Focus-Area-4']"
Picola West,VIC,Rural locality,Moira,61,"['Preparing for Climate Change in the Moira Shire', 'Moira Environmental Sustainability Strategy 2022-26 - Focus-Area-4']"
Picton,NSW,Rural locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Pie Creek,QLD,Urban locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Piedmont,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Nietta,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Pier Milan,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Pierces Creek,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Piesseville,WA,Rural locality,Wagin,253,['Policy Manual Updated - NCCP']
Pigeon Ponds,VIC,Rural locality,Southern Grampians,44,['Climate Adaptation Plan 2017-2027 FINAL']
Pigeonbah,NSW,Rural locality,Warren,88,['Annual Report 2021-22-NCCP']
Piggabeen,NSW,Rural locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Piggoreet,VIC,Rural locality,Golden Plains,124,"['Climate Emergency Plan 2022-2032', 'MHWAPlan-2021', 'GPS Council Plan 21-25']"
Pikapene,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Pike River,SA,Rural locality,Renmark Paringa,138,"['RPC-EmergencyManagementPlanSeptember-2020', 'RPC - Water Stewardship Plan']"
Pikedale,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Pilerwa,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Pillar Valley,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Lexton,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Pilot Wilderness,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
